Character,Dialogue,Context,fr,it,de,es,ru,ptbr,zht,zhs,JP,ko,tr,
,Press             to open the menu,,Appuyer sur             pour ouvrir le menu,Premi             per aprire il menu,"Drücke             , um das Menü zu öffnen",Pulsa para abrir el menú,"Нажмите             , чтобы открыть меню",Pressione para abrir o menu,按下             打開選單,Menuyu acmak icin bas,{button}でメニューを開く,버튼으로 메뉴 열기,Menuyu acmak icin bas,
,Press             to switch between items,,Appuyer sur                       pour changer d'objet,Premi             per cambiare gli oggetti,"Drücke             , um zwischen Gegenständen zu wechseln",Pulsa para cambiar de objetos,"Нажмите             , чтобы переключиться между предметами",Pressione para alternar entre os itens.,按下            來切換物品,Esyalar arasinda gecis icin bas,{button}でアイテム切り替え,버튼으로 아이템 변경,Esyalar arasinda gecis icin bas,
,Settings,,Paramètres,Impostazioni,Einstellungen,Ajustes,Настройки,Configurações,設定,Ayarlar,設定,설정,Ayarlar,
,Power Off,,Éteindre,Spegni,Ausschalten,Apagar,Выключить,Desligar,關閉電源,Kapat,電源を切る,전원 끄기,Kapat,
,Kimiko's Curse,,Malédiction de Kimiko,La Maledizione di Kimiko,Kimikos Fluch,La maldición de Kimiko,Проклятие Кимико,A Maldição de Kimiko,貴美子的詛咒,Kimiko'nun Laneti,キミコの呪い,키미코의 저주,Kimiko'nun Laneti,
,"The darkness retreats, for just a brief moment.",,"Les ténèbres reculent, juste un bref instant.","L'oscurità si ritira, solo per un breve istante.","Die Dunkelheit weicht zurück, nur für einen kurzen Moment.","La oscuridad retrocede, solo por un breve instante.",Тьма отступает лишь на краткий миг.,"A escuridão recua, apenas por um breve momento.",黑暗退去，僅僅片刻。,"Karanlik, kisacik bir an icin geri cekiliyor.",闇がほんの一瞬だけ退いていく。,어둠이 아주 잠시 물러난다.,"Karanlik, kisacik bir an icin geri cekiliyor.",
,"""First I need to find Yukiko.""",,« Il faut d'abord que je trouve Yukiko. »,"""Per prima cosa devo trovare Yukiko.""",„Zuerst muss ich Yukiko finden.“,«Antes tengo que encontrar a Yukiko».,«Сначала нужно найти Юкико».,"""Primeiro preciso encontrar Yukiko.""",「我首先需要找到雪子。」,"""Once Yukiko'yu bulmam lazim.""",まずはユキコを見つけないと。,"""먼저 유키코를 찾아야 해.""","""Once Yukiko'yu bulmam lazim.""",
,"""All alone.""",,« Toute seule. »,"""Sono sola.""",„Ganz allein.“,«Estoy sola».,«Совсем одна».,"""Completamente sozinha.""",「孤身一人。」,"""Yapayalniz.""",独りぼっち,"""나 혼자야.""","""Yapayalniz.""",
,"""I'm too late.""",,« C'est trop tard. »,"""È troppo tardi.""",„Ich bin zu spät.“,«He llegado tarde».,«Я опоздала».,"""Cheguei tarde demais.""",「我來晚了。」,"""Cok gec kaldim.""",間に合わなかった。,"""너무 늦었어.""","""Cok gec kaldim.""",
,"""My family.""",,« Ma famille. »,"""La mia famiglia.""",„Meine Familie.“,«Mi familia».,«Моя семья».,"""Minha família.""",「我的家人。」,"""Ailem.""",わたしの家族。,"""우리 가족이야.""","""Ailem.""",
,"""The door is locked.""",,« C'est fermé à clé. »,"""La porta è chiusa.""",„Die Tür ist verschlossen.“,«La puerta está cerrada».,«Дверь заперта».,"""A porta está trancada.""",「門鎖著。」,"""Kapi kilitli.""",ドアは鍵がかかっている。,"""문이 잠겼어.""","""Kapi kilitli.""",
,"""The door won't budge.""",,« La porte ne s'ouvre pas. »,"""La porta non si apre.""",„Die Tür rührt sich nicht.“,«La puerta no se mueve».,«Дверь не открывается».,"""A porta não se move.""",「門紋絲不動。」,"""Kapi kipirdamiyor.""",ドアはびくともしない。,"""문이 꼼짝도 안 해.""","""Kapi kipirdamiyor.""",
,"""All alone...""",,« Toute seule... »,"""Sono sola...""",„Ganz allein ...“,«Sin nadie...».,«Совсем одна...»,"""Completamente sozinha...""",「孤身一人…」,"""Yapayalniz...""",私にはできない,"""나만 남았어...""","""Yapayalniz...""",
,"""I'm too late...""",,« C'est trop tard... »,"""È troppo tardi...""",„Ich bin zu spät ...“,«He llegado tarde...».,«Я опоздала...»,"""Cheguei tarde demais...""",「我來晚了…」,"""Cok gec kaldim...""",おばあちゃん。,"""너무 늦었어...""","""Cok gec kaldim...""",
,"""It feels like so long ago...""",,« Ça paraît si lointain... »,"""Sembra essere passato tanto tempo...""","„Es fühlt sich an, als wäre es schon so lange her ...“",«Me resulta tan lejano...».,"«Кажется, что это было так давно...»","""Parece que foi há tanto tempo...""",感覺好像是很久以前的事了…,"""Cok uzun zaman once gibi geliyor...""",すべてあなたのせい,"""아주 오래 전처럼 느껴져...""","""Cok uzun zaman once gibi geliyor...""",
,"""Mother... You were so pretty.""",,« Maman... Tu étais si belle. »,"""Mamma... Eri così bella.""",„Mutter ... Du warst so hübsch.“,«Madre... Eras tan guapa».,«Мама... Ты была такой красивой».,"""Mãe... você era tão bonita.""",「媽媽… 妳以前真漂亮。」,"""Anne... Cok guzeldin.""",ママ…とても可愛かったわ。,"""엄마... 정말 예뻤네요.""","""Anne... Cok guzeldin.""",
,"""I can't do this.""",,« Je ne peux pas le faire. »,"""Non posso farlo.""",„Ich kann das nicht tun.“,«No puedo hacerlo».,«Я справлюсь».,"""Não consigo fazer isso.""",「我做不到。」,"""Yapamam bunu.""",私にはできない,"""난 못 해.""","""Yapamam bunu.""",
,"""Grandfather.""",,« Papi. »,"""Nonno.""",„Großvater.“,«Abuelo».,«Дедушка».,"""Avô.""",「祖父。」,"""Buyukbaba.""",おばあちゃん。,"""할아버지.""","""Buyukbaba.""",
,"""This is all your fault.""",,« Tout est ta faute. »,"""È tutta colpa tua.""",„Das ist alles deine Schuld.“,«Todo es culpa tuya».,«Это ты во всем виноват».,"""Tudo isso é culpa sua.""",「這都是你的錯。」,"""Hepsi senin sucun.""",すべてあなたのせい,"""전부 당신 때문이야.""","""Hepsi senin sucun.""",
,"""Grandfather...""",,« Papi... »,"""Nonno...""",„Großvater ...“,«Abuelo...».,«Дедушка...»,"""Avô...""",「祖父...」,"""Buyukbaba...""",おじいちゃん…,"""할아버지...""","""Buyukbaba...""",
,press a to attack,,appuyez sur A pour attaquer,premi A per attaccare,Drücke A zum Angreifen,pulsa A para atacar,"нажмите A, чтобы атаковать",pressione A para atacar,按 A 攻擊,saldirmak icin a'ya bas,Aで攻撃,A를 눌러 공격,saldirmak icin a'ya bas,
,press s to block,,appuyez sur S pour bloquer,premi S per parare,Drücke S zum Blocken,pulsa S para bloquear,"нажмите S, чтобы блокировать",pressione S para bloquear,按 S 格擋,savunmak icin s'ye bas,Sでガード,S를 눌러 방어,savunmak icin s'ye bas,
,press b to block,,appuyez sur B pour bloquer,premi B per parare,Drücke B zum Blocken,pulsa B para bloquear,"нажмите B, чтобы блокировать",pressione B para bloquear,按 B 格擋,savunmak icin b'ye bas,Bでガード,B를 눌러 방어,savunmak icin b'ye bas,
,press d to shoot,,appuyez sur D pour tirer,premi D per sparare,Drücke D zum Schießen,pulsa D para disparar,"нажмите D, чтобы стрелять",pressione D para atirar,按 D 射擊,ates etmek icin d'ye bas,Dで撃つ,D를 눌러 사격,ates etmek icin d'ye bas,
,press square to shoot,,appuyez sur carré pour tirer,premi quadrato per sparare,Drücke Quadrat zum Schießen,pulsa cuadrado para disparar,"нажмите квадрат, чтобы стрелять",pressione quadrado para atirar,按方形鍵射擊,ates etmek icin kareye bas,□で撃つ,네모 버튼을 눌러 사격,ates etmek icin kareye bas,
,Use                to move,,Utilisez                pour vous déplacer,Usa                per muoverti,Benutze                zum Bewegen,Usa                para moverte,Используйте                для движения,Use                para se mover,使用                移動,Hareket etmek icin kullan,で移動,로 이동,Hareket etmek icin kullan,
,Press                       to cycle between objects,,Appuyer sur                                  pour parcourir les objets,Premi                           per alternare gli oggetti,"Drücke                           , um Objekte durchzugehen",Pulsa para alternar entre objetos,"Нажмите                           , чтобы переключаться между объектами",Pressione para alternar entre objetos,按                       在物件之間切換,Nesneler arasinda gecis icin bas,{button}でオブジェクト切り替え,버튼으로 물건 선택,Nesneler arasinda gecis icin bas,
,Quip,,Réplique,Battuta,Spruch,Ocurrencia,Острота,Tirada,吐槽,Laf Sokma,ひと言,한마디,Laf Sokma,
,I think that's the way you came in from.,,Je crois que tu es entrée par là.,Credo che questa sia la strada da cui sei venuta.,"Ich glaube, das ist die Richtung, aus der du gekommen bist.",Creo que así es como llegaste.,"Кажется, ты отсюда пришла.",Acho que foi por aí que você entrou.,我想你就是這樣進來的。,Sanirim geldigin yol orasiydi.,そっちは入ってきた道だと思うよ。,네가 왔던 길이 거기 같아.,Sanirim geldigin yol orasiydi.,
,"Uh, did it glitch out or something?",,"Euh, ça a bugué ou quoi ?","Ehm, si è buggato o qualcosa del genere?","Äh, hat es einen Glitch oder so?","Eh, ¿se bugueó o algo?","Эм, оно заглючило или что?","Ah, deu bug ou alguma coisa?",呃，它是不是出故障了？,"Sey, bozuldu mu ne?",え、バグったのか何か？,"어, 이거 버그 난 거야?","Sey, bozuldu mu ne?",
,"One...Two...Three...Shoot, I lost count...",,"Un... deux... trois... Flûte, j'ai perdu le compte...
","Uno... Due... Tre... Cavolo, ho perso il conto...
","Eins ... zwei ... drei ... Mist, ich habe mich verzählt ...","Uno..., dos..., tres... Ay, he perdido la cuenta...","Раз... два... три... Ну вот, сбилась со счета...
","Um... Dois... Três... Droga, perdi a conta...",一…二…三…糟了，我數到哪裡了…,"Bir... Iki... Uc... Kahretsin, sayiyi unuttum...",いち…にい…さん…あれ？いくつまで数えたっけ？,"하나...둘...셋...이런, 잊어버렸네...","Bir... Iki... Uc... Kahretsin, sayiyi unuttum...",
,"Change the channel, Tabby. It’s giving me a headache.",,"Change de chaîne, Tabby. Ça me donne mal de tête.
","Cambia canale, Tabby. Mi sta facendo venire il mal di testa.
","Schalt um, Tabby. Ich kriege Kopfschmerzen davon.","Cambia de canal, Tabby. Me está dando dolor de cabeza.","Переключи канал, Табби. У меня от этого голова разболелась.
","Muda de canal, Tabby. Tá me dando dor de cabeça.",塔比，換個頻道吧，這頻道看得我頭痛。,"Kanali degistir, Tabby. Basimi agritiyor.",タビー、チャンネルを変えて。頭痛がしてきたわ。,"채널 좀 바꾸자, 태비. 머리가 아파.","Kanali degistir, Tabby. Basimi agritiyor.",
,One more time? Or is it time to go to bed?,,"Encore une fois ? Ou c'est l'heure d'aller au lit ?
","Ancora un'altra partita? O è l'ora di andare a dormire?
","Noch ein Mal? Oder ist es Zeit, ins Bett zu gehen?",¿Otra vez? ¿O ya es hora de irse a la cama?,"Еще разок? Или уже пора спать?
",Mais uma vez? Ou já está na hora de ir dormir?,再來一次？還是該睡覺了？,Bir kez daha mi? Yoksa yatma vakti mi?,もう一回やる？それとも寝る？,한 번 더? 아니면 잘 시간인가?,Bir kez daha mi? Yoksa yatma vakti mi?,
,We can't give up now.,,On ne peut pas abandonner maintenant.,Non possiamo smettere adesso.,Wir können jetzt nicht aufgeben.,No podemos rendirnos ahora.,Сейчас нельзя сдаваться.,Não podemos desistir agora.,我們現在不能放棄。,Simdi pes edemeyiz.,ここで諦めるわけにはいかないわ。,지금 포기할 순 없어.,Simdi pes edemeyiz.,
,I feel like it's been raining for months...,,"J'ai l'impression qu'il pleut depuis des mois...
","Mi sembra quasi che stia piovendo da mesi...
","Ich habe das Gefühl, es regnet seit Monaten ...",Parece como si llevara meses lloviendo sin parar...,"Кажется, дождь идет уже не один месяц...
","Para mim, parece que está chovendo há meses…",感覺好像已經下了好幾個月的雨了…,Aylardir yagmur yagiyormus gibi geliyor...,ここ数か月もずっと雨が降っているような…,몇 달이나 비가 오는 것 같아...,Aylardir yagmur yagiyormus gibi geliyor...,
,Is that wall breakable?,,On peut détruire ce mur ?,Si può rompere quel muro?,Ist diese Wand zerbrechlich?,¿Esa pared se puede romper?,Эту стену можно сломать?,Dá pra quebrar essa parede?,那堵牆能被打破嗎？,O duvar kirilabilir mi?,あの壁は破壊できるかな？,저 벽은 부서지나?,O duvar kirilabilir mi?,
,I miss my axe.,,"Ma hache me manque.
","Mi manca la mia ascia.
",Ich vermisse meine Axt.,Echo de menos mi hacha.,"Скучаю по своему топору.
",Saudades do meu machado.,我想念我的斧頭。,Baltami ozledim.,斧があったらよかったのに。,내 도끼가 있었으면.,Baltami ozledim.,
,That was weird...,,C'était bizarre...,Quello è stato strano...,Das war seltsam ...,Eso ha sido raro...,Странные дела...,Isso foi estranho…,真奇怪…,Tuhafti...,今のは奇妙だった…,이건 이상한데...,Tuhafti...,
,Grandma loved this movie.,,"Mamie adorait ce film.
","La nonna adorava questo film.
",Oma hat diesen Film geliebt.,A la abuela le encantaba esta película.,"Бабушка любила этот фильм.
",A vovó adorava esse filme.,奶奶很喜歡這部電影。,Buyukannem bu filmi severdi.,おばあちゃんは、この映画が大好きだったの。,할머니가 좋아하시던 영화네.,Buyukannem bu filmi severdi.,
,I hate clowns.,,Je déteste les clowns.,Odio i clown.,Ich hasse Clowns.,Odio los payasos.,Ненавижу клоунов.,Eu odeio palhaços.,我討厭小丑。,Palyacolardan nefret ederim.,ピエロって大っ嫌い。,광대는 질색이야.,Palyacolardan nefret ederim.,
,Nothing.,,Rien.,Niente.,Nichts.,Nada.,Ничего.,Nada.,什麼都沒有。,Hicbir sey.,何もない。,아무것도 없어.,Hicbir sey.,
,"Wow, I hope this quip doesn't exit the bounds of the speech bubble!",,"Waouh, j'espère que cette réplique ne dépassera pas de la bulle !","Wow, spero che questa battuta non esca dai bordi del fumetto!","Wow, hoffentlich ragt dieser Spruch nicht aus der Sprechblase heraus!","¡Guau, espero que esta ocurrencia no se salga del globo de diálogo!","Ого, надеюсь, эта реплика не вылезет за границы облачка!","Uau, espero que essa fala não saia dos limites do balão!",哇，希望這句吐槽不會超出對話框！,"Vay, umarim bu laf konusma balonunun disina tasmaz!",うわ、このセリフが吹き出しからはみ出さないといいけど！,"와, 이 대사가 말풍선 밖으로 안 나가면 좋겠네!","Vay, umarim bu laf konusma balonunun disina tasmaz!",
,I'm back. What did I miss?,,Je suis de retour. Qu'est-ce que j'ai raté ?,Sono tornato. Cosa mi sono perso?,Ich bin zurück. Was habe ich verpasst?,Ya volví. ¿Qué me perdí?,Я вернулся. Что я пропустил?,Voltei. O que eu perdi?,我回來了。我錯過了什麼？,Dondum. Neyi kacirdim?,戻ったよ。何か見逃した？,나 왔어. 뭐 놓쳤어?,Dondum. Neyi kacirdim?,
,This game is making me hungry.,,Ce jeu me donne faim.,Questo gioco mi sta facendo venire fame.,Dieses Spiel macht mich hungrig.,Este juego me está dando hambre.,От этой игры я проголодался.,Esse jogo está me dando fome.,這遊戲讓我餓了。,Bu oyun beni aciktiriyor.,このゲームやってたらお腹すいてきた。,이 게임 하니까 배고파지네.,Bu oyun beni aciktiriyor.,
,You beat him!,,Tu l'as battu !,L'hai battuto!,Du hast ihn besiegt!,¡Lo venciste!,Ты его победила!,Você derrotou ele!,妳打敗他了！,Onu yendin!,倒した！,해치웠어!,Onu yendin!,
,Kimikos Curse,,Malédiction de Kimiko,La Maledizione di Kimiko,Kimikos Fluch,La maldición de Kimiko,Проклятие Кимико,A Maldição de Kimiko,貴美子的詛咒,Kimiko'nun Laneti,キミコの呪い,키미코의 저주,Kimiko'nun Laneti,
,"You fall to your knees, exhausted. Father is dead.",,"Tu tombes à genoux, épuisée. Père est mort.","Cadi in ginocchio, esausta. Padre è morto.",Erschöpft sinkst du auf die Knie. Vater ist tot.,"Caes de rodillas, exhausta. Padre está muerto.",Ты падаешь на колени без сил. Отец мёртв.,"Você cai de joelhos, exausta. Pai está morto.",妳筋疲力盡地跪倒在地。父親死了。,"Dizlerinin uzerine cokuyorsun, bitkin halde. Baba oldu.",疲れ果てて膝をつく。父は死んだ。,지쳐 무릎을 꿇는다. 아버지는 죽었다.,"Dizlerinin uzerine cokuyorsun, bitkin halde. Baba oldu.",
,Pure Good,,Bonté pure,Bontà pura,Reines Gut,Bondad pura,Чистое добро,Bondade pura,純粹善良,Saf Iyi,純粋な善,순수한 선,Saf Iyi,
,Blood pools in doorways and seeps into the carpet.,,Le sang s'accumule dans les embrasures et s'infiltre dans la moquette.,Il sangue si raccoglie sulle soglie e penetra nel tappeto.,Blut sammelt sich in den Türöffnungen und sickert in den Teppich.,La sangre se acumula en las puertas y empapa la alfombra.,Кровь скапливается в дверных проёмах и впитывается в ковёр.,O sangue se acumula nas portas e penetra no carpete.,鮮血積在門口，滲進地毯。,Kan kapi esiklerinde birikiyor ve haliya siziyor.,血が戸口に溜まり、カーペットへ染み込んでいく。,피가 문간에 고여 카펫으로 스며든다.,Kan kapi esiklerinde birikiyor ve haliya siziyor.,
,His head rolls over and his glossy eyes shift at you. Just a twitch once and no more.,,"Sa tête roule et ses yeux vitreux se tournent vers toi. Un seul tressaillement, puis plus rien.","La sua testa rotola e i suoi occhi vitrei si spostano verso di te. Un solo sussulto, poi più nulla.","Sein Kopf rollt herum und seine glasigen Augen richten sich auf dich. Ein einziges Zucken, dann nichts mehr.",Su cabeza rueda y sus ojos vidriosos se vuelven hacia ti. Un solo espasmo y nada más.,"Его голова перекатывается, и стеклянные глаза поворачиваются к тебе. Один короткий рывок — и больше ничего.","A cabeça dele rola e os olhos vidrados se voltam para você. Apenas um espasmo, e nada mais.",他的頭滾到一旁，無神的眼睛轉向妳。只抽動了一下，便再無動靜。,"Kafasi yana yuvarlaniyor, donuk gozleri sana kayiyor. Bir kez segiriyor ve bitiyor.",頭が転がり、虚ろな目がこちらを向く。一度だけぴくりと動き、それきりだ。,그의 머리가 굴러가고 흐릿한 눈이 너를 향한다. 한 번 움찔하고는 더 이상 움직이지 않는다.,"Kafasi yana yuvarlaniyor, donuk gozleri sana kayiyor. Bir kez segiriyor ve bitiyor.",
,"The darkness retreats, but somewhere a distant a fleshy heartbeat continues...",,"Les ténèbres reculent, mais quelque part, au loin, un battement de chair continue...","L'oscurità si ritira, ma da qualche parte, in lontananza, continua un battito carnoso...","Die Dunkelheit weicht zurück, doch irgendwo in der Ferne schlägt weiterhin ein fleischiges Herz...","La oscuridad retrocede, pero en algún lugar lejano continúa un latido carnoso...","Тьма отступает, но где-то вдали продолжает биться плотское сердце...","A escuridão recua, mas em algum lugar distante um coração de carne continua batendo...",黑暗退去，但遠方某處仍傳來血肉心臟的搏動…,Karanlik geri cekiliyor ama bir yerlerde uzakta etten bir kalp atisi suruyor...,闇は退くが、遠くのどこかで肉の鼓動が続いている…,"어둠은 물러나지만, 먼 어딘가에서 살덩이의 심장박동이 계속된다...",Karanlik geri cekiliyor ama bir yerlerde uzakta etten bir kalp atisi suruyor...,
,Splatter covers the walls. It drips from your fingertips.,,Des éclaboussures couvrent les murs. Elles gouttent de tes doigts.,Gli schizzi ricoprono le pareti. Gocciolano dalle tue dita.,Spritzer bedecken die Wände. Sie tropfen von deinen Fingerspitzen.,Las salpicaduras cubren las paredes. Gotean de las puntas de tus dedos.,Брызги покрывают стены. Они капают с кончиков твоих пальцев.,Respingos cobrem as paredes. Pingam das pontas dos seus dedos.,飛濺的血跡覆滿牆壁，從妳的指尖滴落。,Duvarlar sicramis kanla kapli. Parmak uclarindan damliyor.,飛沫が壁を覆い、指先から滴り落ちる。,튀긴 흔적이 벽을 뒤덮고 손끝에서 뚝뚝 떨어진다.,Duvarlar sicramis kanla kapli. Parmak uclarindan damliyor.,
,Your father embraces you,,Ton père te prend dans ses bras,Tuo padre ti abbraccia,Dein Vater umarmt dich,Tu padre te abraza,Твой отец обнимает тебя,Seu pai abraça você,妳的父親擁抱妳,Baban sana sariliyor,父があなたを抱きしめる,아버지가 너를 끌어안는다,Baban sana sariliyor,
,Blah,,Bla,Bla,Blabla,Bla,Бла,Blá,啦啦,Bla,blah,블라,Bla,
,Tabby feels accomplished and determined to continue on.,,Tabby se sent accomplie et déterminée à continuer.,Tabby si sente soddisfatta e determinata ad andare avanti.,Tabby fühlt sich erfolgreich und entschlossen weiterzumachen.,Tabby se siente satisfecha y decidida a seguir adelante.,Табби чувствует удовлетворение и решимость идти дальше.,Tabby se sente realizada e determinada a continuar.,Tabby 感到很有成就感，並決心繼續前進。,Tabby basarmis hissediyor ve devam etmeye kararli.,Tabbyは達成感を覚え、この先も進む決意を固める。,Tabby는 성취감을 느끼며 계속 나아가기로 결심한다.,Tabby basarmis hissediyor ve devam etmeye kararli.,
,The curtains close as the credits roll. To another day.,,Le rideau tombe tandis que le générique défile. À un autre jour.,Il sipario si chiude mentre scorrono i titoli di coda. A un altro giorno.,"Der Vorhang fällt, während der Abspann läuft. Auf einen weiteren Tag.",El telón se cierra mientras pasan los créditos. Hasta otro día.,"Занавес закрывается, пока идут титры. До следующего дня.",As cortinas se fecham enquanto os créditos rolam. Até outro dia.,布幕落下，製作人員名單開始播放。又是另一天。,Jenerik akarken perdeler kapaniyor. Bir baska gune.,クレジットが流れ、幕が閉じる。また別の日へ。,크레딧이 올라가며 막이 내린다. 또 다른 하루로.,Jenerik akarken perdeler kapaniyor. Bir baska gune.,
,You did what you had to do.,,Tu as fait ce que tu devais faire.,Hai fatto quello che dovevi fare.,"Du hast getan, was du tun musstest.",Hiciste lo que tenías que hacer.,"Ты сделала то, что должна была.",Você fez o que precisava fazer.,妳做了妳必須做的事。,Ne yapman gerekiyorsa yaptin.,やるべきことをやった。,해야 할 일을 했어.,Ne yapman gerekiyorsa yaptin.,
,Growing larger and deeper until there's hardly a trace of yourself left.,,Elle grandit et s'approfondit jusqu'à ce qu'il ne reste presque plus aucune trace de toi.,"Cresce, sempre più grande e profonda, finché di te non resta quasi più traccia.","Es wird größer und tiefer, bis kaum noch eine Spur von dir übrig ist.",Crece y se hace más profundo hasta que apenas queda rastro de ti.,"Она становится всё больше и глубже, пока от тебя почти ничего не остаётся.","Crescendo, ficando maior e mais profundo, até quase não restar nenhum vestígio de você.",它不斷擴大、加深，直到幾乎不再留下妳的痕跡。,"Giderek buyuyor ve derinlesiyor, kendinden neredeyse hic iz kalmayana dek.",それは大きく深くなり、やがて自分の痕跡すらほとんど残らなくなる。,"점점 더 크고 깊어져, 마침내 네 흔적조차 거의 남지 않는다.","Giderek buyuyor ve derinlesiyor, kendinden neredeyse hic iz kalmayana dek.",
,The emptiness envelops you completely.,,Le vide t'enveloppe complètement.,Il vuoto ti avvolge completamente.,Die Leere umhüllt dich vollständig.,El vacío te envuelve por completo.,Пустота полностью окутывает тебя.,O vazio envolve você por completo.,空虛將妳徹底包圍。,Bosluk seni tamamen sariyor.,虚無が完全にあなたを包み込む。,공허가 너를 완전히 감싼다.,Bosluk seni tamamen sariyor.,
,You feel the darkness begin to take shape inside of you.,,Tu sens les ténèbres commencer à prendre forme en toi.,Senti l'oscurità iniziare a prendere forma dentro di te.,"Du spürst, wie die Dunkelheit in dir Gestalt annimmt.",Sientes que la oscuridad empieza a tomar forma dentro de ti.,"Ты чувствуешь, как тьма внутри тебя начинает обретать форму.",Você sente a escuridão começar a tomar forma dentro de você.,妳感覺黑暗開始在體內成形。,Karanligin icinde sekillenmeye basladigini hissediyorsun.,自分の中で闇が形を成し始めるのを感じる。,어둠이 네 안에서 형태를 갖추기 시작하는 게 느껴진다.,Karanligin icinde sekillenmeye basladigini hissediyorsun.,
,A sense of calm washes over you and you family.,,"Un sentiment de calme t'envahit, toi et ta famille.",Una sensazione di calma avvolge te e la tua famiglia.,Ein Gefühl der Ruhe überkommt dich und deine Familie.,Una sensación de calma los envuelve a ti y a tu familia.,Чувство покоя охватывает тебя и твою семью.,Uma sensação de calma envolve você e sua família.,一股平靜籠罩著妳和家人。,Seni ve aileni bir huzur kapliyor.,あなたと家族を穏やかな感覚が包み込む。,평온함이 너와 가족을 감싼다.,Seni ve aileni bir huzur kapliyor.,
,A brief moment of respite in the midst of so much darkness.,,Un bref moment de répit au milieu de tant de ténèbres.,Un breve momento di tregua in mezzo a tanta oscurità.,Ein kurzer Moment der Ruhe inmitten all dieser Dunkelheit.,Un breve momento de descanso en medio de tanta oscuridad.,Краткий миг передышки среди стольких тёмных событий.,Um breve momento de alívio em meio a tanta escuridão.,在如此深沉的黑暗中，短暫喘息片刻。,Onca karanligin ortasinda kisacik bir nefes.,深い闇の中で訪れる、ほんの短い安らぎ。,짙은 어둠 속에서 찾아온 짧은 안식.,Onca karanligin ortasinda kisacik bir nefes.,
,A brief moment of respite in the midst of so much shadow.,,Un bref moment de répit au milieu de tant d'ombre.,Un breve momento di tregua in mezzo a tante ombre.,Ein kurzer Moment der Ruhe inmitten all dieser Schatten.,Un breve momento de descanso en medio de tanta sombra.,Краткий миг передышки среди стольких теней.,Um breve momento de alívio em meio a tantas sombras.,在重重陰影之中，短暫喘息片刻。,Onca golgenin ortasinda kisacik bir nefes.,深い影の中で訪れる、ほんの短い安らぎ。,짙은 그림자 속에서 찾아온 짧은 안식.,Onca golgenin ortasinda kisacik bir nefes.,
,You think of a time when things were simple and quiet.,,Tu repenses à une époque où les choses étaient simples et paisibles.,Pensi a un tempo in cui le cose erano semplici e tranquille.,"Du denkst an eine Zeit zurück, in der alles einfach und ruhig war.",Piensas en una época en que las cosas eran simples y tranquilas.,"Ты вспоминаешь время, когда всё было просто и тихо.",Você pensa em uma época em que as coisas eram simples e tranquilas.,妳想起一段一切都簡單而平靜的時光。,Her seyin basit ve sessiz oldugu bir zamani dusunuyorsun.,物事が単純で静かだった頃を思い出す。,모든 게 단순하고 조용했던 때를 떠올린다.,Her seyin basit ve sessiz oldugu bir zamani dusunuyorsun.,
,"An impossible perfect moment in time, just for a little while.",,"Un instant parfait et impossible, juste pour un petit moment.","Un impossibile momento perfetto, anche solo per poco.","Ein unmöglicher, perfekter Moment, wenigstens für eine kleine Weile.","Un momento perfecto e imposible, aunque solo sea por un rato.",Невозможный идеальный миг — хотя бы ненадолго.,"Um momento perfeito e impossível, ainda que só por um instante.",一個不可能存在的完美時刻，哪怕只有短短片刻。,"Zaman icinde imkânsiz, mukemmel bir an, kisacik bir sureligine.",あり得ないほど完璧な瞬間を、ほんの少しだけ。,"불가능할 만큼 완벽한 순간을, 아주 잠깐만.","Zaman icinde imkânsiz, mukemmel bir an, kisacik bir sureligine.",
,Little one...I've been looking for you...,,Petite... Je te cherchais...,Piccola... Ti stavo cercando...,Kleine... Ich habe nach dir gesucht...,Pequeña... Te he estado buscando...,Малышка... Я тебя искала...,Pequena... Eu estava procurando você...,小傢伙…我一直在找妳…,Kucuk olan... Seni ariyordum...,小さな子…ずっと探していたよ…,꼬마야... 널 찾고 있었어...,Kucuk olan... Seni ariyordum...,
,Are you ready?,,Es-tu prête ?,Sei pronta?,Bist du bereit?,¿Estás lista?,Ты готова?,Você está pronta?,妳準備好了嗎？,Hazir misin?,準備はできた？,준비됐어?,Hazir misin?,
,Yes.,,Oui.,Sì.,Ja.,Sí.,Да.,Sim.,是的,Evet.,はい。,응.,Evet.,
,No.,,Non.,No.,Nein.,No.,Нет.,Não.,不。,Hayir.,いいえ。,아니.,Hayir.,
,Come...little one...,,Viens... petite...,Vieni... piccola...,Komm... Kleine...,Ven... pequeña...,Иди сюда... малышка...,Venha... pequena...,來吧…小傢伙…,Gel... kucuk olan...,おいで…小さな子…,이리 와... 꼬마야...,Gel... kucuk olan...,
,As you wish...little one...,,Comme tu veux... petite...,Come desideri... piccola...,Wie du wünschst... Kleine...,Como quieras... pequeña...,Как пожелаешь... малышка...,Como quiser... pequena...,如妳所願…小傢伙…,Diledigin gibi... kucuk olan...,望みどおりに…小さな子…,네 뜻대로... 꼬마야...,Diledigin gibi... kucuk olan...,
